序号,反转日期,反转价格,最大收益(%),持续时间(周),峰值日期,峰值价格,价格位置,均线收敛,MA20斜率,MA60斜率,波动性,成交量比,RSI,布林带位置
1,2019-03-15,12.5,17.8,5,2019-04-19,14.73,0.625,0.039,0.007,0.0,0.037,1.099,69.4,0.955
2,2019-03-22,12.59,17.0,4,2019-04-19,14.73,0.64,0.049,0.008,-0.001,0.037,0.921,70.9,0.924
3,2019-05-10,12.68,17.5,14,2019-08-16,14.9,0.662,0.087,0.016,0.002,0.035,1.389,60.2,0.612
4,2019-05-17,12.44,16.7,12,2019-08-09,14.52,0.623,0.084,0.015,0.003,0.036,0.925,57.5,0.555
5,2019-05-24,12.35,15.2,9,2019-07-26,14.23,0.608,0.075,0.014,0.002,0.036,0.638,58.7,0.517
6,2019-05-31,12.18,15.9,6,2019-07-12,14.12,0.58,0.07,0.013,0.001,0.036,0.791,54.2,0.459
7,2019-06-06,11.92,15.6,3,2019-06-28,13.78,0.537,0.067,0.012,0.001,0.035,0.744,43.7,0.377
8,2019-06-14,12.49,16.3,8,2019-08-09,14.52,0.631,0.061,0.011,0.001,0.036,0.83,51.4,0.48
9,2019-06-21,13.64,16.6,14,2019-09-27,15.9,0.82,0.057,0.009,0.002,0.035,0.975,57.3,0.746
10,2019-06-28,13.78,15.4,13,2019-09-27,15.9,0.843,0.057,0.009,0.002,0.037,0.842,57.6,0.759
11,2019-07-05,13.92,20.8,14,2019-10-11,16.81,0.867,0.061,0.009,0.003,0.036,0.858,57.1,0.783
12,2019-07-12,14.12,19.1,13,2019-10-11,16.81,0.9,0.066,0.01,0.003,0.036,0.747,51.9,0.818
13,2019-07-19,13.99,20.2,12,2019-10-11,16.81,0.878,0.072,0.011,0.004,0.036,0.68,54.3,0.752
14,2019-07-26,14.23,18.1,11,2019-10-11,16.81,0.918,0.072,0.01,0.005,0.036,0.707,45.5,0.793
15,2019-08-02,13.74,15.7,8,2019-09-27,15.9,0.837,0.074,0.008,0.005,0.035,0.763,49.5,0.628
16,2019-08-09,14.52,15.8,9,2019-10-11,16.81,0.965,0.073,0.007,0.005,0.035,1.456,55.8,0.83
17,2019-08-23,14.65,15.2,9,2019-10-25,16.88,0.96,0.077,0.007,0.006,0.037,1.886,72.1,0.797
18,2019-08-30,14.16,18.7,6,2019-10-11,16.81,0.881,0.078,0.006,0.006,0.036,1.011,66.8,0.651
19,2019-09-06,14.81,16.0,17,2020-01-03,17.18,0.986,0.077,0.005,0.007,0.036,1.195,72.4,0.824
20,2019-09-12,14.68,17.0,16,2020-01-03,17.18,0.965,0.076,0.003,0.007,0.036,0.815,74.0,0.768
21,2020-03-20,12.52,18.7,16,2020-07-10,14.86,0.332,0.044,-0.004,0.006,0.034,1.491,33.3,-0.209
22,2020-04-03,12.61,17.8,14,2020-07-10,14.86,0.266,0.048,-0.009,0.005,0.036,0.6,28.8,-0.001
23,2020-04-10,12.79,16.2,13,2020-07-10,14.86,0.295,0.056,-0.011,0.003,0.036,0.491,29.9,0.092
24,2020-04-17,12.89,15.3,12,2020-07-10,14.86,0.311,0.062,-0.012,0.002,0.036,0.78,26.4,0.152
25,2020-05-08,13.95,15.2,19,2020-09-18,16.07,0.386,0.042,-0.008,0.002,0.034,0.533,40.7,0.382
26,2020-05-15,13.23,21.5,18,2020-09-18,16.07,0.249,0.043,-0.007,0.002,0.034,0.733,41.6,0.285
27,2020-05-22,12.92,15.0,7,2020-07-10,14.86,0.19,0.045,-0.007,0.002,0.035,0.702,37.1,0.256
28,2020-05-29,13.0,16.4,13,2020-08-28,15.13,0.205,0.041,-0.009,0.001,0.035,0.573,33.3,0.285
29,2020-06-05,13.59,18.2,15,2020-09-18,16.07,0.317,0.038,-0.011,0.001,0.034,0.788,43.7,0.421
30,2020-06-12,12.99,16.5,11,2020-08-28,15.13,0.203,0.041,-0.012,0.0,0.034,0.866,36.1,0.302
31,2020-06-19,12.8,16.1,3,2020-07-10,14.86,0.167,0.042,-0.012,-0.0,0.033,1.027,37.7,0.274
32,2020-06-24,12.8,16.1,2,2020-07-10,14.86,0.167,0.042,-0.012,-0.001,0.032,0.834,52.8,0.295
33,2020-07-03,14.25,20.0,15,2020-10-16,17.1,0.443,0.033,-0.01,-0.001,0.032,2.203,59.5,0.711
34,2020-07-17,14.14,20.9,13,2020-10-16,17.1,0.422,0.031,-0.005,-0.0,0.033,1.894,60.5,0.72
35,2020-07-24,13.5,19.0,8,2020-09-18,16.07,0.3,0.034,-0.003,0.001,0.034,1.712,54.4,0.543
36,2020-07-31,13.34,20.5,7,2020-09-18,16.07,0.27,0.036,-0.003,0.002,0.034,1.351,50.7,0.506
37,2020-08-07,13.7,17.3,6,2020-09-18,16.07,0.338,0.033,-0.004,0.002,0.034,1.522,48.2,0.632
