id,event_date,tushare_factor,qfq_diff
000001.SZ,20081031,35.906,8.69
000001.SZ,20121019,36.173,11.89
000001.SZ,20130620,58.387,7.96
000001.SZ,20140612,71.054,6.13
000001.SZ,20150413,85.994,5.8
000001.SZ,20160616,104.758,2.91
000001.SZ,20170721,106.309,2.75
000001.SZ,20180712,108.031,2.62
000001.SZ,20180816,66.3145,2.62
000001.SZ,20180828,108.031,2.62
000001.SZ,20190626,109.169,2.47
000001.SZ,20200102,109.169,2.47
000001.SZ,20200528,111.049,2.26
000001.SZ,20210107,111.049,2.26
000001.SZ,20210514,111.922,2.08
000001.SZ,20220722,113.936,1.85
000001.SZ,20230601,113.936,1.85
000001.SZ,20230614,116.713,1.56
000001.SZ,20240614,125.05,0.84
000001.SZ,20240625,125.049,0.84
000001.SZ,20240626,125.049,0.84
000001.SZ,20241010,127.784,0.6
000001.SZ,20250612,131.788,0.24
000001.SZ,20251015,134.579,0.0
000002.SZ,20080102,68.511,19.83
000002.SZ,20080616,110.286,8.82
000002.SZ,20090608,110.804,8.77
000002.SZ,20100518,111.936,8.7
000002.SZ,20110527,113.372,8.6
000002.SZ,20120705,115.013,8.47
000002.SZ,20130516,116.873,8.29
000002.SZ,20140508,123.296,7.88
000002.SZ,20150721,127.447,7.38
000002.SZ,20160729,132.782,6.66
000002.SZ,20170829,137.3,5.87
000002.SZ,20180816,137.3,5.87
000002.SZ,20180823,142.668,4.97
000002.SZ,20190815,148.412,3.92
000002.SZ,20200102,148.412,3.92
000002.SZ,20200814,153.901,2.91
000002.SZ,20210107,153.901,2.91
000002.SZ,20210825,162.737,1.66
000002.SZ,20220825,172.824,0.68
000002.SZ,20230601,172.824,0.68
000002.SZ,20230825,181.704,0.0
000002.SZ,20240625,181.704,0.0
000002.SZ,20240626,181.704,0.0
000651.SZ,20080102,15.622,68.39
000651.SZ,20080714,23.631,42.12
000651.SZ,20090603,35.808,37.1
000651.SZ,20100713,55.029,30.66
000651.SZ,20110531,55.812,34.64
000651.SZ,20120706,57.14,34.4
000651.SZ,20130711,59.437,35.89
000858.SZ,20080102,14.097,32.38
000858.SZ,20090511,14.139,32.33
000858.SZ,20100514,14.223,32.18
000858.SZ,20110513,14.351,31.88
000858.SZ,20120516,14.558,31.38
000858.SZ,20130607,15.069,30.58
000858.SZ,20140701,15.682,29.88
000858.SZ,20150619,15.998,29.28
000858.SZ,20160725,16.373,28.48
000858.SZ,20170512,16.713,27.58
000858.SZ,20180706,17.025,26.28
000858.SZ,20180816,17.0252,26.28
000858.SZ,20180828,17.025,26.28
000858.SZ,20190606,17.323,24.58
000858.SZ,20200102,17.3225,24.58
000858.SZ,20200622,17.5558,22.38
000858.SZ,20210107,17.556,22.38
000858.SZ,20210709,17.725,19.8
000858.SZ,20220629,17.9972,16.77
000858.SZ,20230601,17.998,16.77
000858.SZ,20230627,18.415,12.99
000858.SZ,20240625,18.4152,12.99
000858.SZ,20240626,18.415,12.99
000858.SZ,20240712,19.0986,8.32
000858.SZ,20250123,19.4842,5.75
000858.SZ,20250718,19.9878,2.58
002415.SZ,20100528,1.0,84.75
002415.SZ,20100707,1.007,72.47
002415.SZ,20110420,2.03,42.17
002415.SZ,20120613,4.091,27.8
002415.SZ,20130710,8.247,17.75
002415.SZ,20140709,8.371,16.1
002415.SZ,20150414,8.476,24.13
002415.SZ,20160518,12.99,13.52
002415.SZ,20170516,19.784,6.2
002415.SZ,20180522,20.022,5.7
002415.SZ,20190524,20.523,5.1
002415.SZ,20200102,20.5233,5.1
002415.SZ,20200529,21.0418,4.4
002415.SZ,20210107,21.042,4.4
002415.SZ,20210528,21.307,3.6
002415.SZ,20220526,21.9156,2.7
002415.SZ,20220530,21.915,2.7
002415.SZ,20230519,22.3554,2.0
002415.SZ,20230601,22.356,2.0
002415.SZ,20240521,22.9661,1.1
002415.SZ,20240625,22.9657,1.1
002415.SZ,20240626,22.966,1.1
002415.SZ,20250520,23.5387,0.4
002415.SZ,20251010,23.8175,0.0
002594.SZ,20110630,1.0,20.12
002594.SZ,20140813,1.001,37.28
002594.SZ,20161213,1.008,36.56
002594.SZ,20170804,1.012,35.3
002594.SZ,20180816,1.0122,31.13
002594.SZ,20180817,1.0156,31.21
002594.SZ,20180828,1.016,33.3
002594.SZ,20190726,1.019,41.12
002594.SZ,20200102,1.0192,34.96
002594.SZ,20200818,1.0199,57.61
002594.SZ,20210107,1.02,152.85
002594.SZ,20220729,1.0203,216.31
002594.SZ,20230601,1.021,173.04
002594.SZ,20230728,1.025,180.36
002594.SZ,20240625,1.0252,171.7
002594.SZ,20240626,1.025,170.84
002594.SZ,20240729,1.0376,167.39
002594.SZ,20250729,3.1499,0.0
300059.SZ,20100319,1.0,57.92
300059.SZ,20100709,1.004,52.03
300059.SZ,20110607,1.512,22.58
300059.SZ,20120411,2.432,12.95
300059.SZ,20130517,4.884,10.48
300059.SZ,20140526,8.802,9.99
300059.SZ,20160418,22.26,17.48
300059.SZ,20170418,26.781,8.03
300059.SZ,20180418,32.182,8.83
300059.SZ,20180816,32.1816,7.82
300059.SZ,20180828,32.182,8.14
300059.SZ,20190522,38.658,6.8
300059.SZ,20200521,46.4777,6.43
300059.SZ,20210107,46.478,14.87
300059.SZ,20210527,55.862,9.81
300059.SZ,20220420,67.2418,3.59
300059.SZ,20220530,67.242,3.83
300059.SZ,20230418,80.9649,0.1
300059.SZ,20230601,80.965,0.1
300059.SZ,20240423,81.2274,0.06
300059.SZ,20240625,81.2275,0.06
300059.SZ,20240626,81.227,0.06
300059.SZ,20250416,81.4661,0.0
300750.SZ,20180611,1.0,29.98
300750.SZ,20190722,1.002,46.29
300750.SZ,20200102,1.0019,61.6
300750.SZ,20200604,1.0034,80.35
300750.SZ,20210107,1.003,197.35
300750.SZ,20210705,1.004,244.34
300750.SZ,20220928,1.0055,198.43
300750.SZ,20230426,1.8218,11.79
300750.SZ,20230601,1.822,11.79
300750.SZ,20240430,1.8666,6.76
300750.SZ,20240625,1.8662,6.76
300750.SZ,20240626,1.866,6.76
300750.SZ,20250124,1.875,5.54
300750.SZ,20250422,1.9125,1.0
300750.SZ,20250820,1.9194,0.0
600000.SH,20080102,2.096,46.72
600000.SH,20080424,2.737,26.24
600000.SH,20090609,3.861,17.74
600000.SH,20100610,5.058,11.51
600000.SH,20110603,6.655,8.12
600000.SH,20120626,6.903,7.3
600000.SH,20130603,7.286,7.45
600000.SH,20140624,7.82,6.75
600000.SH,20150623,8.185,8.62
600000.SH,20160623,9.267,6.77
600000.SH,20170525,12.201,2.99
600000.SH,20180713,12.33,2.89
600000.SH,20180816,12.3303,2.89
600000.SH,20180828,12.33,2.89
600000.SH,20190611,12.714,2.54
600000.SH,20200102,12.7136,2.54
600000.SH,20200723,13.4058,1.94
600000.SH,20210107,13.406,1.94
600000.SH,20210721,14.082,1.46
600000.SH,20220721,14.8643,1.05
600000.SH,20230601,14.865,1.05
600000.SH,20230721,15.535,0.73
600000.SH,20240625,15.5347,0.73
600000.SH,20240626,15.535,0.73
600000.SH,20240718,16.1051,0.41
600000.SH,20250716,16.5935,0.0
600009.SH,20080102,2.554,5.55
600009.SH,20080730,2.569,5.45
600009.SH,20090805,2.576,5.4
600009.SH,20100804,2.586,5.35
600009.SH,20110812,2.606,5.25
600009.SH,20120813,2.733,4.65
600009.SH,20130816,2.812,4.28
600009.SH,20140815,2.874,3.98
600009.SH,20150820,2.908,3.63
600009.SH,20160818,2.951,3.2
600009.SH,20170824,2.987,2.76
600009.SH,20180816,2.9867,2.76
600009.SH,20180823,3.0166,2.18
600009.SH,20180828,3.017,2.18
600009.SH,20190822,3.04,1.52
600009.SH,20200102,3.0402,1.52
600009.SH,20200820,3.0711,0.73
600009.SH,20210107,3.071,0.73
600009.SH,20240625,3.0711,0.73
600009.SH,20240626,3.071,0.73
600009.SH,20240719,3.0816,0.61
