id,event_date,factor,qfq_diff
000001.SZ,20080102,27.524,30.77
000001.SZ,20081031,35.906,8.69
000001.SZ,20121019,36.173,11.89
000001.SZ,20130620,58.387,7.96
000001.SZ,20140612,71.054,6.13
000001.SZ,20150413,85.994,5.8
000001.SZ,20160616,104.758,2.91
000001.SZ,20170721,106.309,2.75
000001.SZ,20180712,108.031,2.62
000001.SZ,20180816,66.3145,2.62
000001.SZ,20180828,108.031,2.62
000001.SZ,20190626,109.169,2.47
000001.SZ,20200102,109.169,2.47
000001.SZ,20200528,111.049,2.26
000001.SZ,20210107,111.049,2.26
000001.SZ,20210514,111.922,2.08
000001.SZ,20220722,113.936,1.85
000001.SZ,20230601,113.936,1.85
000001.SZ,20230614,116.713,1.56
000001.SZ,20240614,125.05,0.84
000001.SZ,20240625,125.049,0.84
000001.SZ,20240626,125.049,0.84
000001.SZ,20241010,127.784,0.6
000001.SZ,20250612,131.788,0.24
000001.SZ,20251015,134.579,0.0
000002.SZ,20080102,68.511,19.83
000002.SZ,20080616,110.286,8.82
000002.SZ,20090608,110.804,8.77
000002.SZ,20100518,111.936,8.7
000002.SZ,20110527,113.372,8.6
000002.SZ,20120705,115.013,8.47
000002.SZ,20130516,116.873,8.29
000002.SZ,20140508,123.296,7.88
000002.SZ,20150721,127.447,7.38
000002.SZ,20160729,132.782,6.66
000002.SZ,20170829,137.3,5.87
000002.SZ,20180816,137.3,5.87
000002.SZ,20180823,142.668,4.97
000002.SZ,20190815,148.412,3.92
000002.SZ,20200102,148.412,3.92
000002.SZ,20200814,153.901,2.91
000002.SZ,20210107,153.901,2.91
000002.SZ,20210825,162.737,1.66
000002.SZ,20220825,172.824,0.68
000002.SZ,20230601,172.824,0.68
000002.SZ,20230825,181.704,0.0
000002.SZ,20240625,181.704,0.0
000002.SZ,20240626,181.704,0.0
000006.SZ,20080102,5.454,23.46
000006.SZ,20080429,10.952,9.52
000006.SZ,20090626,11.024,9.55
000006.SZ,20100513,16.752,4.21
000006.SZ,20110614,21.949,3.15
000006.SZ,20120711,28.714,1.85
000006.SZ,20130620,30.779,1.54
000006.SZ,20140609,31.78,1.38
000006.SZ,20150619,32.002,1.26
000006.SZ,20160617,32.551,1.14
000006.SZ,20170616,33.219,0.96
000006.SZ,20180622,34.226,0.78
000006.SZ,20180816,34.2262,0.78
000006.SZ,20180828,34.226,0.78
000006.SZ,20190619,35.426,0.59
000006.SZ,20200618,36.5068,0.41
000006.SZ,20210107,36.507,0.41
000006.SZ,20210623,37.878,0.21
000006.SZ,20220621,38.94,0.09
000006.SZ,20230628,39.74,0.0
000006.SZ,20240625,39.7397,0.0
000006.SZ,20240626,39.74,0.0
000007.SZ,20080102,5.521,2.58
000007.SZ,20170522,8.284,7.94
000007.SZ,20180816,8.2835,0.0
000007.SZ,20180828,8.284,0.0
000007.SZ,20200102,8.2835,0.0
000007.SZ,20210107,8.284,0.0
000007.SZ,20240625,8.2835,0.0
000007.SZ,20240626,8.284,0.0
000008.SZ,20080102,2.532,11.17
000008.SZ,20130528,5.064,5.59
000008.SZ,20150313,7.343,30.08
000008.SZ,20150924,22.021,0.08
000008.SZ,20170602,22.052,0.07
000008.SZ,20180607,22.275,0.07
000008.SZ,20180816,22.2747,0.02
000008.SZ,20180828,22.275,0.02
000008.SZ,20190628,22.333,0.01
000008.SZ,20200102,22.3328,0.01
000008.SZ,20200529,22.4083,0.0
000008.SZ,20210107,22.408,0.0
000008.SZ,20240625,22.4083,0.0
000008.SZ,20240626,22.408,0.0
000009.SZ,20080102,2.854,10.36
000009.SZ,20080516,3.674,5.83
000009.SZ,20090806,3.867,7.38
000009.SZ,20100827,3.878,6.2
000009.SZ,20110803,3.882,11.47
000009.SZ,20130726,4.473,5.23
000009.SZ,20140709,5.386,5.27
000009.SZ,20150806,5.396,4.4
000009.SZ,20160721,7.318,2.01
000009.SZ,20170816,7.335,1.64
000009.SZ,20180727,7.364,1.05
000009.SZ,20180816,7.3639,0.99
000009.SZ,20180828,7.364,0.99
000009.SZ,20190722,8.859,0.19
000009.SZ,20200813,8.8815,0.17
000009.SZ,20210107,8.881,0.17
000009.SZ,20210826,8.891,0.14
000009.SZ,20220831,8.9088,0.11
000009.SZ,20230601,8.908,0.11
000009.SZ,20230803,8.932,0.07
000009.SZ,20240726,8.977,0.03
000009.SZ,20250827,9.0053,0.0
000010.SZ,20080402,2.694,11.07
000010.SZ,20130719,10.775,0.0
000010.SZ,20180816,10.7745,0.0
000010.SZ,20180828,10.775,0.0
000010.SZ,20200102,10.7745,0.0
000010.SZ,20210107,10.775,0.0
000010.SZ,20240625,10.7745,0.0
000010.SZ,20240626,10.775,0.0
000011.SZ,20080102,2.086,4.64
000011.SZ,20091103,2.899,4.74
000011.SZ,20091123,3.192,3.45
000011.SZ,20140620,3.317,3.2
000011.SZ,20150609,3.352,2.98
000011.SZ,20160524,3.374,2.9
000011.SZ,20170526,3.407,2.72
000011.SZ,20180629,3.502,2.42
000011.SZ,20180816,3.495,2.42
000011.SZ,20180828,3.502,2.42
000011.SZ,20190516,3.603,2.12
000011.SZ,20200102,3.5964,2.12
000011.SZ,20200518,3.7437,1.76
000011.SZ,20210107,3.751,1.76
000011.SZ,20210430,3.874,1.35
000011.SZ,20220711,4.0903,0.67
000011.SZ,20230601,4.082,0.67
000011.SZ,20230710,4.242,0.31
000011.SZ,20240617,4.4104,0.0
000011.SZ,20240625,4.4108,0.0
000011.SZ,20240626,4.411,0.0
000012.SZ,20080102,8.568,15.41
000012.SZ,20080610,8.645,12.05
000012.SZ,20090703,8.699,12.18
000012.SZ,20100514,15.042,5.94
000012.SZ,20110603,15.379,6.94
000012.SZ,20120525,15.678,4.7
000012.SZ,20130530,15.891,5.31
000012.SZ,20140508,16.549,3.8
000012.SZ,20150508,17.123,5.79
000012.SZ,20160519,17.618,4.32
000012.SZ,20170719,20.48,2.77
000012.SZ,20180627,23.742,1.33
000012.SZ,20180816,23.7419,1.33
000012.SZ,20180828,23.742,1.33
000012.SZ,20190626,26.405,0.84
000012.SZ,20200701,26.7784,0.77
000012.SZ,20210107,26.778,0.77
000012.SZ,20210617,27.053,0.67
000012.SZ,20220624,27.7783,0.47
000012.SZ,20230601,27.779,0.47
