stock_id,date,qfq_close_tencent
000001.SZ,2024-01-02,7.6500
000001.SZ,2024-01-03,7.6400
000001.SZ,2024-01-04,7.5500
000001.SZ,2024-01-05,7.7100
000001.SZ,2024-01-08,7.5900
000001.SZ,2024-01-09,7.6200
000001.SZ,2024-01-10,7.5300
000001.SZ,2024-01-11,7.6100
000001.SZ,2024-01-12,7.6300
000001.SZ,2024-01-15,7.6500
000001.SZ,2024-01-16,7.7800
000001.SZ,2024-01-17,7.6700
000001.SZ,2024-01-18,7.6400
000001.SZ,2024-01-19,7.6100
000001.SZ,2024-01-22,7.5400
000001.SZ,2024-01-23,7.6000
000001.SZ,2024-01-24,7.7700
000001.SZ,2024-01-25,7.9400
000001.SZ,2024-01-26,8.0600
000001.SZ,2024-01-29,8.1400
000001.SZ,2024-01-30,7.9400
000001.SZ,2024-01-31,7.9000
000333.SZ,2024-01-02,47.6100
000333.SZ,2024-01-03,47.5000
000333.SZ,2024-01-04,48.3000
000333.SZ,2024-01-05,48.6500
000333.SZ,2024-01-08,48.0500
000333.SZ,2024-01-09,48.2200
000333.SZ,2024-01-10,48.2700
000333.SZ,2024-01-11,48.0500
000333.SZ,2024-01-12,48.0500
000333.SZ,2024-01-15,48.9300
000333.SZ,2024-01-16,49.9700
000333.SZ,2024-01-17,49.4200
000333.SZ,2024-01-18,49.4500
000333.SZ,2024-01-19,49.1900
000333.SZ,2024-01-22,48.3900
000333.SZ,2024-01-23,49.4300
000333.SZ,2024-01-24,50.2400
000333.SZ,2024-01-25,49.4000
000333.SZ,2024-01-26,50.5600
000333.SZ,2024-01-29,51.7400
000333.SZ,2024-01-30,51.2700
000333.SZ,2024-01-31,51.3000
600036.SH,2024-01-02,22.6000
600036.SH,2024-01-03,22.7900
600036.SH,2024-01-04,22.8300
600036.SH,2024-01-05,23.3100
600036.SH,2024-01-08,23.1500
600036.SH,2024-01-09,23.1900
600036.SH,2024-01-10,23.0700
600036.SH,2024-01-11,23.4000
600036.SH,2024-01-12,23.5600
600036.SH,2024-01-15,23.7900
600036.SH,2024-01-16,24.1500
600036.SH,2024-01-17,24.2100
600036.SH,2024-01-18,24.6000
600036.SH,2024-01-19,24.7500
600036.SH,2024-01-22,25.2700
600036.SH,2024-01-23,25.0100
600036.SH,2024-01-24,25.1100
600036.SH,2024-01-25,25.9200
600036.SH,2024-01-26,26.1400
600036.SH,2024-01-29,26.3700
600036.SH,2024-01-30,26.0200
600036.SH,2024-01-31,25.7300
000651.SZ,2024-01-02,25.7100
000651.SZ,2024-01-03,25.4800
000651.SZ,2024-01-04,25.6300
000651.SZ,2024-01-05,26.6600
000651.SZ,2024-01-08,26.5800
000651.SZ,2024-01-09,27.1700
000651.SZ,2024-01-10,27.3500
000651.SZ,2024-01-11,27.2700
000651.SZ,2024-01-12,27.3000
000651.SZ,2024-01-15,27.5200
000651.SZ,2024-01-16,27.7900
000651.SZ,2024-01-17,27.3500
000651.SZ,2024-01-18,27.3200
000651.SZ,2024-01-19,27.2300
000651.SZ,2024-01-22,26.6800
000651.SZ,2024-01-23,26.6300
000651.SZ,2024-01-24,27.3300
000651.SZ,2024-01-25,27.3400
000651.SZ,2024-01-26,27.3400
000651.SZ,2024-01-29,28.7400
000651.SZ,2024-01-30,28.8300
000651.SZ,2024-01-31,28.9300
300274.SZ,2024-01-02,58.4800
300274.SZ,2024-01-03,58.3200
300274.SZ,2024-01-04,56.5200
300274.SZ,2024-01-05,54.7200
300274.SZ,2024-01-08,54.8600
300274.SZ,2024-01-09,56.0500
300274.SZ,2024-01-10,58.5100
300274.SZ,2024-01-11,59.5600
300274.SZ,2024-01-12,60.2700
300274.SZ,2024-01-15,59.7300
300274.SZ,2024-01-16,60.9800
300274.SZ,2024-01-17,59.2700
300274.SZ,2024-01-18,62.0700
300274.SZ,2024-01-19,61.0500
300274.SZ,2024-01-22,59.9900
300274.SZ,2024-01-23,62.8000
300274.SZ,2024-01-24,61.2000
300274.SZ,2024-01-25,61.7800
300274.SZ,2024-01-26,59.4600
300274.SZ,2024-01-29,54.9600
300274.SZ,2024-01-30,54.6100
300274.SZ,2024-01-31,53.4600
